Feature		Gain Value
=======		==========
13787		494.6447616619231
766		504.39715327133337
R-HSA-1430728		529.87066769885
10943		407.4765600968463
R-HSA-392499		510.1571319145222
5235		239.9451945515001
5545		1002.58444
IPR013083		433.93605785
8223		554.7385675
R-HSA-212436		641.493117
GO:0005743		215.6030028
GO:0046872		155.55651333333333
GO:0007186		1159.0584395
IPR001849		880.1787715
5493		619.5220774
IPR000719		335.49634416000004
hsa03015		219.9852295
5499		278.6683166
GO:0005789		573.5576170000002
5652		1095.59949
15678		457.012463344
GO:0006954		437.015854
GO:0003677		508.760559
R-HSA-3700989		388.2159425
GO:0008283		758.214294
R-HSA-162582		388.83808255
GO:0016020		488.8370852
7773		491.77626533333324
GO:0005515		322.9732005217777
IPR011993		378.13027962222225
GO:0008270		530.56069925
4970		526.0225829999999
R-HSA-372790		95.53073897499999
IPR006020		43.3245239
GO:0006351		468.41562650000003
IPR036179		503.85231533333337
3528		345.81288157999995
GO:0005887		436.40468346716665
R-HSA-1630316		164.21710559999997
GO:0050727		203.96135229090913
GO:0005856		36.869812
hsa01100		374.4050079
IPR000504		360.77435875
hsa05012		374.4596222
GO:0006928		352.9580352
4982		15.134541833333335
hsa00190		11.179636649999999
hsa04120		340.21774475
GO:0004725		496.29977399999996
hsa03013		190.7144625
R-HSA-1483206		336.20495919999996
GO:0005912		241.15964621428571
GO:0001938		342.9200868
R-HSA-382551		433.56778
GO:0005623		312.9394836
GO:0008150		4.75109482
R-HSA-76002		327.61145533333337
GO:0006508		340.81786325
8110		191.08672496
GO:0005524		146.788391
GO:0005886		297.6032106366667
R-HSA-69481		336.4220885
11214		237.5962372666667
R-HSA-5693607		7.75930786
GO:0005576		350.4938253333333
GO:0001525		1.80582427975
5902		366.74367266666667
IPR001245		12.029815665000001
GO:0005923		176.1912063111111
IPR027417		294.622772
IPR001478		297.40203099999997
194		4.75872231
GO:0055114		313.6026915
IPR003591		286.83780275
R-HSA-1483257		312.966517
hsa05034		92.28593430000001
GO:0005737		11.141143815
GO:0035335		279.4581388
IPR000006		27.76174165
GO:0004693		342.253174
11168		223.4467164
GO:0016021		376.957357
1006		101.64535019
R-HSA-8953854		262.4975205
GO:0007165		322.211029
2967		0.204711914
hsa00020		6.75898234
hsa05016		177.12597635
GO:0005829		143.05072
GO:0003700		200.36932402499997
GO:0005634		312.49671413333334
1669		93.9185791
GO:0000307		273.202362
GO:0045737		6.46859741
GO:0045944		257.61269400000003
GO:0005739		334.431976
GO:0001934		247.6048585
GO:0005654		125.91097503333333
GO:0003674		343.5511373333333
R-HSA-1266738		286.2984695
IPR004148		220.655853
GO:0031625		236.833008
